title,url,date
PMO Launches Public Diplomacy Campaign – about Hamas's Atrocities – in New York ahead of Prime Minister Netanyahu's UN Address,https://www.gov.il/en/pages/event-campaign250925,2025-09-25
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-yemen250925,2025-09-25
PM Netanyahu’s visit to the United States - September 2025,https://www.gov.il/en/pages/news-us09-25,
PM Netanyahu's Remarks at Ben-Gurion International Airport,https://www.gov.il/en/pages/news-flight250925,2025-09-25
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-negation240925,2025-09-24
Prime Minister's Office announcement,https://www.gov.il/en/pages/spoke-syria240925,2025-09-24
PM Netanyahu at a New Year's Toast with the IDF General Staff Forum,https://www.gov.il/en/pages/event-forum220925,2025-09-22
PM Netanyahu’s Rosh Hashanah Greeting,https://www.gov.il/en/pages/spoke-new-year220925,2025-09-22
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-pm210925,2025-09-21
PM Netanyahu's remarks at the opening of the government meeting,https://www.gov.il/en/pages/spoke-start210925,2025-09-21
PM Netanyahu at the ISA Jewish New Year Toast,https://www.gov.il/en/pages/event-shabak190925,2025-09-19
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-condolence180925,2025-09-18
PM Netanyahu and Mossad Director David Barnea Awarded the Prime Minister’s Prize for Mossad Operations,https://www.gov.il/en/pages/event-mossad180925,2025-09-18
PM Netanyahu attended the dedication of the Fijian Embassy in Jerusalem,https://www.gov.il/en/pages/event-embassy170925,2025-09-17
PM Netanyahu Meets with Fijian Prime Minister and Foreign Affairs Minister Sitiveni Rabuka,https://www.gov.il/en/pages/event-hosting170925,2025-09-17
PM Netanyahu at the Press Conference,https://www.gov.il/en/pages/event-press160925,2025-09-16
Statement by PM Netanyahu at the Air Force Command Center in the Kirya,https://www.gov.il/en/pages/event-pm160925,2025-09-16
Prime Minister's Office Statement,https://www.gov.il/en/pages/event-cityofdavid160925,2025-09-16
Statement by PM Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-invest150925,2025-09-15
"PM Netanyahu’s remarks at the “Fifty States – One Israel” Event at the Ministry of Foreign Affairs, with the largest delegation of American legislators to ever visit Israel",https://www.gov.il/en/pages/event-one-150925,2025-09-15
Prime Minister's Office on behalf of the Israel Atomic Energy Commission,https://www.gov.il/en/pages/spoke-energy150925,2025-09-15
Statements by PM Netanyahu and US Secretary of State Marco Rubio,https://www.gov.il/en/pages/event-us150925,2025-09-15
"PM Netanyahu has Concluded an Extended Meeting, in his Office, with US Secretary of State Marco Rubio and his Team",https://www.gov.il/en/pages/event-meet150925,2025-09-15
PM Netanyahu and US Secretary of State Rubio at the Western Wall,https://www.gov.il/en/pages/event-western-wall140925,2025-09-14
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start140925,2025-09-14
PM Netanyahu at the Signing Ceremony for the Roof Agreement in Maale Adumim,https://www.gov.il/en/pages/event-maale-adumim110925,2025-09-11
PM Netanyahu Speaks with Elizabeth Tsurkov,https://www.gov.il/en/pages/event-tsurkov110925,2025-09-11
PM Netanyahu at an Event Marking 60 Years since the Execution of Eli Cohen: “There is no safe haven for those who were responsible for the terrible massacre of October 7. The message is clear: You have no sanctuary. There is no place where we cannot reach,https://www.gov.il/en/pages/event-cohen110925,2025-09-11
PM Netanyahu attended the annual ceremony for the Netzach Yehuda preparatory programs,https://www.gov.il/en/pages/event-ceremony110925,2025-09-11
Prime Minister's Office-Mossad Joint Announcement,https://www.gov.il/en/pages/spoke-elizabeta100925,2025-09-10
PM Netanyahu at the Cornerstone-laying Ceremony for the President Donald Trump Promenade,https://www.gov.il/en/pages/event-ceremony100925,2025-09-10
"PM Netanyahu: “I say to Qatar and all nations who harbor terrorists, you either expel them or you bring them to justice. Because if you don’t, we will”",https://www.gov.il/en/pages/spoke-11september100925,2025-09-10
PM Netanyahu comments on the attack in Yemen,https://www.gov.il/en/pages/spoke-statement100925,2025-09-10
Announcement by PM Netanyahu,https://www.gov.il/en/pages/spoke-kidnapped-100925,2025-09-10
PM Netanyahu's Remarks at a US Embassy event celebrating American Independence Day,https://www.gov.il/en/pages/event-us090925,2025-09-09
Joint Announcement by PM Netanyahu and Defense Minister Israel Katz,https://www.gov.il/en/pages/spoke-security090925,2025-09-09
Prime Minister's Office,https://www.gov.il/en/pages/spoke-statement090925,2025-09-09
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-condolence080925,2025-09-08
"PM Netanyahu at the Air Force Command Center: ""In the last two days, we have taken down 50 terrorist high-rises, and this is only the beginning of the ground operation in Gaza City. I say to the residents of Gaza: You have been warned; Get out of there!""",https://www.gov.il/en/pages/event-ef080925,2025-09-08
PM Netanyahu at the Scene of the Terrorist Attack at Ramot Junction in Jerusalem,https://www.gov.il/en/pages/event-ramot080925,2025-09-08
PM's Office Announcement,https://www.gov.il/en/pages/spoke-pm080925,2025-09-08
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start070925,2025-09-07
Prime Minister Netanyahu reveals: The REAL reason that the International Criminal Court accused Israel,https://www.gov.il/en/pages/spoke-reason040925,2025-09-04
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-updating030925,2025-09-03
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-demonstration030925,2025-09-03
PM Netanyahu Meets with IDF Veterans with PTSD,https://www.gov.il/en/pages/event-idf030925,2025-09-03
Statement by PM Netanyahu to IDF Conscripts and Reserve Soldiers,https://www.gov.il/en/pages/spoke-pm020925,2025-09-02
PM Netanyahu meets with heads of local authorities in the North,https://www.gov.il/en/pages/event-meeting010925,2025-09-01
PM Netanyahu Opens 2025-2026 School Year at the Begin School in Nof Hagalil,https://www.gov.il/en/pages/event-school010925,2025-09-01
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start-310825,2025-08-31
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-operation300825,2025-08-30
PM Netanyahu and his wife met with Sabine Taasa who lost her husband and son in the 7 October massacre,https://www.gov.il/en/pages/event-taasa290825,2025-08-29
Statement from the Prime Minister's Office,https://www.gov.il/en/pages/spoke-wfp290825,2025-08-29
