title,url,date,date_parsed,event_type,score,reasons
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-yemen250925,2025-09-25,2025-09-25,no_netanyahu,-100,no Netanyahu mention
Prime Minister's Office announcement,https://www.gov.il/en/pages/spoke-syria240925,2025-09-24,2025-09-24,no_netanyahu,-100,no Netanyahu mention
PM Netanyahu at a New Year's Toast with the IDF General Staff Forum,https://www.gov.il/en/pages/event-forum220925,2025-09-22,2025-09-22,ceremony,-8,ceremony/ceremonial; Netanyahu explicitly in title; ceremonial/greeting/minor
PM Netanyahu’s Rosh Hashanah Greeting,https://www.gov.il/en/pages/spoke-new-year220925,2025-09-22,2025-09-22,ceremony,-8,ceremony/ceremonial; Netanyahu explicitly in title; ceremonial/greeting/minor
PM Netanyahu at the ISA Jewish New Year Toast,https://www.gov.il/en/pages/event-shabak190925,2025-09-19,2025-09-19,ceremony,-8,ceremony/ceremonial; Netanyahu explicitly in title; ceremonial/greeting/minor
PM Netanyahu and Mossad Director David Barnea Awarded the Prime Minister’s Prize for Mossad Operations,https://www.gov.il/en/pages/event-mossad180925,2025-09-18,2025-09-18,other,2,Netanyahu explicitly in title; ceremonial/greeting/minor
PM Netanyahu attended the dedication of the Fijian Embassy in Jerusalem,https://www.gov.il/en/pages/event-embassy170925,2025-09-17,2025-09-17,ceremony,-8,ceremony/ceremonial; Netanyahu explicitly in title; ceremonial/greeting/minor
Prime Minister's Office Statement,https://www.gov.il/en/pages/event-cityofdavid160925,2025-09-16,2025-09-16,no_netanyahu,-100,no Netanyahu mention
Prime Minister's Office on behalf of the Israel Atomic Energy Commission,https://www.gov.il/en/pages/spoke-energy150925,2025-09-15,2025-09-15,no_netanyahu,-100,no Netanyahu mention
PM Netanyahu at the Signing Ceremony for the Roof Agreement in Maale Adumim,https://www.gov.il/en/pages/event-maale-adumim110925,2025-09-11,2025-09-11,ceremony,2,ceremony/ceremonial; Netanyahu explicitly in title
PM Netanyahu attended the annual ceremony for the Netzach Yehuda preparatory programs,https://www.gov.il/en/pages/event-ceremony110925,2025-09-11,2025-09-11,ceremony,-8,ceremony/ceremonial; Netanyahu explicitly in title; ceremonial/greeting/minor
Prime Minister's Office-Mossad Joint Announcement,https://www.gov.il/en/pages/spoke-elizabeta100925,2025-09-10,2025-09-10,no_netanyahu,-100,no Netanyahu mention
PM Netanyahu at the Cornerstone-laying Ceremony for the President Donald Trump Promenade,https://www.gov.il/en/pages/event-ceremony100925,2025-09-10,2025-09-10,ceremony,2,ceremony/ceremonial; Netanyahu explicitly in title; foreign/UN signal; ceremonial/greeting/minor
Prime Minister's Office,https://www.gov.il/en/pages/spoke-statement090925,2025-09-09,2025-09-09,no_netanyahu,-100,no Netanyahu mention
PM's Office Announcement,https://www.gov.il/en/pages/spoke-pm080925,2025-09-08,2025-09-08,no_netanyahu,-100,no Netanyahu mention
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-updating030925,2025-09-03,2025-09-03,no_netanyahu,-100,no Netanyahu mention
PM Netanyahu Opens 2025-2026 School Year at the Begin School in Nof Hagalil,https://www.gov.il/en/pages/event-school010925,2025-09-01,2025-09-01,other,2,Netanyahu explicitly in title; ceremonial/greeting/minor
Statement from the Prime Minister's Office,https://www.gov.il/en/pages/spoke-wfp290825,2025-08-29,2025-08-29,no_netanyahu,-100,no Netanyahu mention
Prime Minister’s Office Statement,https://www.gov.il/en/pages/spoke-hospital250825,2025-08-25,2025-08-25,no_netanyahu,-100,no Netanyahu mention
Statement from the Prime Minister's Office,https://www.gov.il/en/pages/spoke-lebanon250825,2025-08-25,2025-08-25,no_netanyahu,-100,no Netanyahu mention
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-statement220825,2025-08-22,2025-08-22,no_netanyahu,-100,no Netanyahu mention
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-return210825,2025-08-21,2025-08-21,no_netanyahu,-100,no Netanyahu mention
