title,url,date,date_parsed,event_type,score,reasons
PMO Launches Public Diplomacy Campaign – about Hamas's Atrocities – in New York ahead of Prime Minister Netanyahu's UN Address,https://www.gov.il/en/pages/event-campaign250925,2025-09-25,2025-09-25,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Remarks by Prime Minister Benjamin Netanyahu following today's hostage rescue operation,https://www.gov.il/en/pages/event-abducted080624,2024-06-08,2024-06-08,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Prime Minister Netanyahu's Remarks at the Ceremony Marking the Remembrance Day for Israel's Fallen Soldiers at Mount Herzl,https://www.gov.il/en/pages/event_memorial_day_har140421,2021-04-14,2021-04-14,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Remarks by Prime Minister Benjamin Netanyahu on the ICC Decision,https://www.gov.il/en/pages/spoke_icc030321,2021-03-03,2021-03-03,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu's Remarks on US President Donald Trump's Statement on the Establishment of Relations between Israel and Morocco,https://www.gov.il/en/pages/event_ww101220,2020-12-10,2020-12-10,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Excerpts from PM Netanyahu's Remarks at the Israel Hayom Forum on US-Israel Relations,https://www.gov.il/en/pages/event_israelhayom290619,2019-06-29,2019-06-29,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Prime Minister Netanyahu’s Remarks at the Memorial Ceremony Honoring the Victims of Terrorism at Mount Herzl,https://www.gov.il/en/pages/event_mounthatred080519,2019-05-08,2019-05-08,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu's Remarks at the Joint Statements with Chad President Idriss Deby on Announcing the Resumption of Diplomatic Relations between Chad and Israel,https://www.gov.il/en/pages/event_statements200119,2019-01-20,2019-01-20,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
"PM Netanyahu Addresses Foreign Ministry Conference of Israeli Ambassadors to Latin American, Asian and African Countries",https://www.gov.il/en/pages/event_conference161218,2018-12-16,2018-12-16,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
"PM Netanyahu Addresses MFA Conference of Israeli Ambassadors to North America, Europe, International Organizations, the Middle East and Eurasia",https://www.gov.il/en/pages/event_ambassador101218,2018-12-10,2018-12-10,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
