title,url,date,date_parsed,event_type,score,reasons
PM Netanyahu's Remarks at the Lighting of the First Chanukah Candle at an Event in Salute of Wounded IDF and Security Forces Veterans and Victims of Terrorism,https://www.gov.il/en/pages/speechchanuka241216,2016-12-24,2016-12-24,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Prime Minister Netanyahu's Remarks at the Official Memorial Ceremony for the Ethiopian Jews who Perished on their Way to Israel,https://www.gov.il/en/pages/speecheth280514,2014-05-28,2014-05-28,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
"PM Netanyahu's Remarks, About the Talks on the Iranian Nuclear Issue, at the Start of his Meeting with US Sen. Joe Lieberman",https://www.gov.il/en/pages/eventliberman150412,2012-04-15,2012-04-15,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu's Remarks upon his Return to Israel from Canada and the US,https://www.gov.il/en/pages/spokeland070312,2012-03-07,2012-03-07,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu's Remarks at the Start of Today's Israeli-German Cabinet Meeting,https://www.gov.il/en/pages/spokemerkelgov310111,2011-01-31,2011-01-31,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu's Remarks on his Tour of the Israeli-Egyptian Border,https://www.gov.il/en/pages/eventegypt281110,2010-11-28,2010-11-28,speech,35,speech/address/remarks; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with Indian Ambassador to Israel J.P. Singh,https://www.gov.il/en/pages/event-india070825,2025-08-07,2025-08-07,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with US Senator Bernie Moreno and with US Ambassador to Israel Mike Huckabee,https://www.gov.il/en/pages/event-meet220425,2025-04-22,2025-04-22,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with US Presidential Special Envoy Jason Greenblatt and US Ambassador to Israel David Friedman,https://www.gov.il/en/pages/spoke_usa270917,2017-09-27,2017-09-27,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with Israeli Ambassador to Jordan Einat Shlain and the Security Guard Ziv,https://www.gov.il/en/pages/eventambassador250717,2017-07-25,2017-07-25,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu and Indian PM Modi Meet with Israeli and Indian CEOs,https://www.gov.il/en/pages/eventecoindia060717,2017-07-06,2017-07-06,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with US Ambassador to Israel David Friedman,https://www.gov.il/en/pages/eventnewambassador160517,2017-05-16,2017-05-16,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with Israel's Ambassadors to African Countries,https://www.gov.il/en/pages/eventafrica080217,2017-02-08,2017-02-08,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with Outgoing US Ambassador to Israel Dan Shapiro,https://www.gov.il/en/pages/eventamba190117,2017-01-19,2017-01-19,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Statement by PM Netanyahu on the New Security Memorandum of Understanding between Israel and the United States,https://www.gov.il/en/pages/spokestatement140916,2016-09-14,2016-09-14,statement,32,PM statement; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Statement by PM Netanyahu at the Meeting between the Israeli and Greek Governments,https://www.gov.il/en/pages/spokeg2g270116,2016-01-27,2016-01-27,statement,32,PM statement; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with European Swimming League President Paolo Barelli and with Israel Swimming Association President Shay Schachner,https://www.gov.il/en/pages/eventswim061215,2015-12-06,2015-12-06,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Meets with the New Chinese Ambassador to Israel,https://www.gov.il/en/pages/eventchina011111,2011-11-01,2011-11-01,meeting,32,meeting; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
Statements by Israeli PM Netanyahu and Chilean President Sebastián Piñera,https://www.gov.il/en/pages/eventchilepre060311,2011-03-06,2011-03-06,statement,32,PM statement; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
PM Netanyahu Welcomes Egyptian Military Statement that Egypt will Continue to Honor the Peace Treaty with Israel,https://www.gov.il/en/pages/pokeegypt120211,2011-02-12,2011-02-12,statement,32,PM statement; Netanyahu explicitly in title; foreign/UN signal; core topic (Iran/Hamas/etc.)
