date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2026-02-06 16:30,1770424200.0,New York Knicks @ Detroit Pistons,Detroit Pistons,New York Knicks,NBA Regular Season,Amazon Prime Worldwide [$],16589.0,https://basketball.icdb.tv/match/16589,Ian Eagle,Stan Van Gundy,Stan Van Gundy,,,Cassidy Hubbarth,"Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Cassidy Hubbarth (Reporter)",New York Knicks @ Detroit Pistons,pending,,
2026-01-29 18:30,1769740200.0,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,NBA Regular Season,Amazon Prime Worldwide [$],16577.0,https://basketball.icdb.tv/match/16577,Ian Eagle,Stan Van Gundy,"Stan Van Gundy, Steve Nash",,,Allie Clifton,"Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Steve Nash (Co-commentator), Allie Clifton (Reporter)",Oklahoma City Thunder @ Minnesota Timberwolves,pending,,
2026-01-15 19:00,1768532400.0,New York Knicks @ Golden State Warriors,Golden State Warriors,New York Knicks,NBA Regular Season,Amazon Prime Worldwide [$],16333.0,https://basketball.icdb.tv/match/16333,Ian Eagle,Stan Van Gundy,"Stan Van Gundy, Kelenna Azubuike","Dwyane Wade, Udonis Haslem, Blake Griffin","Taylor Rooks, Jim Basquil",Allie Clifton,"Taylor Rooks (Presenter), Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Dwyane Wade (Pundit), Udonis Haslem (Pundit), Blake Griffin (Pundit), Allie Clifton (Reporter), Jim Basquil (Presenter), Sean Kelley (Main Commentator), Kelenna Azubuike (Co-commentator)",New York Knicks @ Golden State Warriors,pending,,
2026-01-02 16:30,1767400200.0,Denver Nuggets @ Cleveland Cavaliers,Cleveland Cavaliers,Denver Nuggets,NBA Regular Season,Amazon Prime Worldwide [$],16271.0,https://basketball.icdb.tv/match/16271,Ian Eagle,Stan Van Gundy,Stan Van Gundy,,,Cassidy Hubbarth,"Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Cassidy Hubbarth (Reporter)",Denver Nuggets @ Cleveland Cavaliers,pending,,
2025-12-26 16:30,1766795400.0,Philadelphia 76ers @ Chicago Bulls,Chicago Bulls,Philadelphia 76ers,NBA Regular Season,Amazon Prime Worldwide [$],16238.0,https://basketball.icdb.tv/match/16238,Ian Eagle,Stan Van Gundy,Stan Van Gundy,"Dwyane Wade, John Wall, Rudy Gay",Taylor Rooks,Cassidy Hubbarth,"Taylor Rooks (Presenter), Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Dwyane Wade (Pundit), John Wall (Pundit), Rudy Gay (Pundit), Cassidy Hubbarth (Reporter)",Philadelphia 76ers @ Chicago Bulls,pending,,
2025-12-19 16:00,1766188800.0,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NBA Regular Season,Amazon Prime Worldwide [$],16183.0,https://basketball.icdb.tv/match/16183,Ian Eagle,Stan Van Gundy,Stan Van Gundy,"Udonis Haslem, Steve Nash, Blake Griffin",Taylor Rooks,Cassidy Hubbarth,"Taylor Rooks (Presenter), Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Udonis Haslem (Pundit), Steve Nash (Pundit), Blake Griffin (Pundit), Cassidy Hubbarth (Reporter)",Philadelphia 76ers @ New York Knicks,pending,,
2025-12-16 17:30,1765935000.0,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NBA Cup,Amazon Prime Worldwide [$],16163.0,https://basketball.icdb.tv/match/16163,Ian Eagle,Stan Van Gundy,"Stan Van Gundy, Dwyane Wade, Doris Burke, P.J. Carlesimo","Dirk Nowitzki, Udonis Haslem, Steve Nash, Blake Griffin","Taylor Rooks, Jim Basquil","Cassidy Hubbarth, Jorge Sedano","Taylor Rooks (Presenter), Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Dwyane Wade (Co-commentator), Dirk Nowitzki (Pundit), Udonis Haslem (Pundit), Steve Nash (Pundit), Blake Griffin (Pundit), Cassidy Hubbarth (Reporter), Jim Basquil (Presenter), Marc Kestecher (Main Commentator), Doris Burke (Co-commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter)",San Antonio Spurs @ New York Knicks,pending,,
2025-12-13 14:30,1765665000.0,New York Knicks @ Orlando Magic,Orlando Magic,New York Knicks,NBA Cup,Amazon Prime Worldwide [$],16134.0,https://basketball.icdb.tv/match/16134,Ian Eagle,Stan Van Gundy,"Stan Van Gundy, Dwyane Wade, Doris Burke, P.J. Carlesimo","Dirk Nowitzki, Udonis Haslem, Steve Nash, Blake Griffin","Taylor Rooks, Jim Basquil","Cassidy Hubbarth, Jorge Sedano","Taylor Rooks (Presenter), Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Dwyane Wade (Co-commentator), Dirk Nowitzki (Pundit), Udonis Haslem (Pundit), Steve Nash (Pundit), Blake Griffin (Pundit), Cassidy Hubbarth (Reporter), Jim Basquil (Presenter), Marc Kestecher (Main Commentator), Doris Burke (Co-commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter)",New York Knicks @ Orlando Magic,pending,,
2025-12-10 19:00,1765422000.0,San Antonio Spurs @ Los Angeles Lakers,Los Angeles Lakers,San Antonio Spurs,NBA Cup,Amazon Prime Worldwide [$],16128.0,https://basketball.icdb.tv/match/16128,Ian Eagle,Stan Van Gundy,Stan Van Gundy,"Udonis Haslem, John Wall, Steve Nash, Blake Griffin",Taylor Rooks,Cassidy Hubbarth,"Taylor Rooks (Presenter), Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Udonis Haslem (Pundit), John Wall (Pundit), Steve Nash (Pundit), Blake Griffin (Pundit), Cassidy Hubbarth (Reporter)",San Antonio Spurs @ Los Angeles Lakers,pending,,
2025-12-05 16:00,1764979200.0,Los Angeles Lakers @ Boston Celtics,Boston Celtics,Los Angeles Lakers,NBA Regular Season,Amazon Prime Worldwide [$],16099.0,https://basketball.icdb.tv/match/16099,Ian Eagle,Stan Van Gundy,"Stan Van Gundy, Doris Burke","Candace Parker, Udonis Haslem, Blake Griffin","Taylor Rooks, Jim Basquil",Cassidy Hubbarth,"Taylor Rooks (Presenter), Ian Eagle (Main Commentator), Stan Van Gundy (Co-commentator), Candace Parker (Pundit), Udonis Haslem (Pundit), Blake Griffin (Pundit), Cassidy Hubbarth (Reporter), Jim Basquil (Presenter), Sean Kelley (Main Commentator), Doris Burke (Co-commentator)",Los Angeles Lakers @ Boston Celtics,pending,,
