date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file
2026-02-23 18:30,1771900200,Utah Jazz @ Houston Rockets,Houston Rockets,Utah Jazz,NBA Regular Season,"Peacock (US) ($), NBC Sports Network (NBCSN)",16599,https://basketball.icdb.tv/match/16599,John Michael,Grant Hill,Grant Hill,"Brad Daugherty, Brian Scalabrine",Jordan Cornette,Ashley ShahAhmadi,"John Michael (Main Commentator), Grant Hill (Co-commentator), Ashley ShahAhmadi (Reporter), Jordan Cornette (Presenter), Brad Daugherty (Pundit), Brian Scalabrine (Pundit)",Utah Jazz @ Houston Rockets,pending,
2026-01-26 16:00,1769472000,Orlando Magic @ Cleveland Cavaliers,Cleveland Cavaliers,Orlando Magic,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",16420,https://basketball.icdb.tv/match/16420,John Michael,Brad Daugherty,Brad Daugherty,"Kelenna Azubuike, Isiah Thomas",Ahmed Fareed,Jordan Cornette,"Ahmed Fareed (Presenter), John Michael (Main Commentator), Brad Daugherty (Co-commentator), Kelenna Azubuike (Pundit), Isiah Thomas (Pundit), Jordan Cornette (Reporter)",,,
2025-12-31 12:30,1767213000,Phoenix Suns @ Cleveland Cavaliers,Cleveland Cavaliers,Phoenix Suns,NBA Regular Season,NBA TV (US),16257,https://basketball.icdb.tv/match/16257,John Michael,Brad Daugherty,Brad Daugherty,,,Serena Winters,"John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter)",,,
2025-12-06 16:30,1765067400,Golden State Warriors @ Cleveland Cavaliers,Cleveland Cavaliers,Golden State Warriors,NBA Regular Season,NBA TV (US),16114,https://basketball.icdb.tv/match/16114,John Michael,Brad Daugherty,Brad Daugherty,,,Serena Winters,"John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter)",,,
2025-11-15 14:00,1763244000,Memphis Grizzlies @ Cleveland Cavaliers,Cleveland Cavaliers,Memphis Grizzlies,NBA Regular Season,NBA TV (US),15984,https://basketball.icdb.tv/match/15984,John Michael,Brad Daugherty,Brad Daugherty,,,Serena Winters,"John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter)",,,
2025-11-13 16:00,1763078400,Toronto Raptors @ Cleveland Cavaliers,Cleveland Cavaliers,Toronto Raptors,NBA Regular Season,NBA TV (US),15971,https://basketball.icdb.tv/match/15971,John Michael,Brad Daugherty,Brad Daugherty,,,Serena Winters,"John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter)",,,
2025-10-26 15:00,1761516000,Milwaukee Bucks @ Cleveland Cavaliers,Cleveland Cavaliers,Milwaukee Bucks,NBA Regular Season,Fanduel Sports Network Ohio,15865,https://basketball.icdb.tv/match/15865,John Michael,Brad Daugherty,Brad Daugherty,,,Serena Winters,"John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter)",,,
2025-04-28 16:30,1745883000,Cleveland Cavaliers @ Miami Heat,Miami Heat,Cleveland Cavaliers,NBA Playoffs,Fanduel Sports Network Ohio,15108,https://basketball.icdb.tv/match/15108,John Michael,Brad Daugherty,"Brad Daugherty, John Crotty, Candace Parker","Charles Barkley, Kenny Smith, Shaquille O'Neal",Ernie Johnson,"Serena Winters, Kristen Hewitt, Dennis Scott","John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter), Eric Reid (Main Commentator), John Crotty (Co-commentator), Kristen Hewitt (Reporter), Ernie Johnson (Presenter), Spero Dedes (Main Commentator), Candace Parker (Co-commentator), Charles Barkley (Pundit), Kenny Smith (Pundit), Shaquille O'Neal (Pundit), Dennis Scott (Reporter)",,,
2025-04-26 10:00,1745686800,Cleveland Cavaliers @ Miami Heat,Miami Heat,Cleveland Cavaliers,NBA Playoffs,Fanduel Sports Network Ohio,15056,https://basketball.icdb.tv/match/15056,John Michael,Brad Daugherty,"Brad Daugherty, John Crotty, Greg Anthony","Charles Barkley, Kenny Smith, Shaquille O'Neal",Ernie Johnson,"Serena Winters, Kristen Hewitt, Taylor Rooks","John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter), Eric Reid (Main Commentator), John Crotty (Co-commentator), Kristen Hewitt (Reporter), Ernie Johnson (Presenter), Matt Devlin (Main Commentator), Greg Anthony (Co-commentator), Charles Barkley (Pundit), Kenny Smith (Pundit), Shaquille O'Neal (Pundit), Taylor Rooks (Reporter)",,,
2025-04-23 16:30,1745451000,Miami Heat @ Cleveland Cavaliers,Cleveland Cavaliers,Miami Heat,NBA Playoffs,Fanduel Sports Network Ohio,15052,https://basketball.icdb.tv/match/15052,John Michael,Brad Daugherty,"Brad Daugherty, John Crotty, Greg Anthony",,,"Serena Winters, Kristen Hewitt, Taylor Rooks","John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter), Eric Reid (Main Commentator), John Crotty (Co-commentator), Kristen Hewitt (Reporter), Matt Devlin (Main Commentator), Greg Anthony (Co-commentator), Taylor Rooks (Reporter)",,,
