date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators
2026-01-05 16:00,1767657600,New York Knicks @ Detroit Pistons,Detroit Pistons,New York Knicks,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",16264,https://basketball.icdb.tv/match/16264,Kate Scott,Grant Hill,Grant Hill,"Brad Daugherty, Isiah Thomas",Ahmed Fareed,Ashley ShahAhmadi,"Ahmed Fareed (Presenter), Kate Scott (Main Commentator), Grant Hill (Co-commentator), Brad Daugherty (Pundit), Isiah Thomas (Pundit), Ashley ShahAhmadi (Reporter)"
2025-12-04 16:00,1764892800,Golden State Warriors @ Philadelphia 76ers,Philadelphia 76ers,Golden State Warriors,NBA Regular Season,NBA TV (US),16113,https://basketball.icdb.tv/match/16113,Kate Scott,Alaa Abdelnaby,Alaa Abdelnaby,,,,"Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2025-10-10 16:00,1760137200,Orlando Magic @ Philadelphia 76ers,Philadelphia 76ers,Orlando Magic,NBA Pre-Season,"NBC Sports Philadelphia, NBA TV (US)",15827,https://basketball.icdb.tv/match/15827,Kate Scott,Alaa Abdelnaby,Alaa Abdelnaby,,,,"Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2025-01-06 16:00,1736208000,Phoenix Suns @ Philadelphia 76ers,Philadelphia 76ers,Phoenix Suns,NBA Regular Season,"NBC Sports Philadelphia, NBA TV (US), TNT Sports 1 HD UK, Discovery+ UK ($/geo/R)",13661,https://basketball.icdb.tv/match/13661,Kate Scott,Alaa Abdelnaby,Alaa Abdelnaby,,,Taryn Hatcher,"Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Taryn Hatcher (Reporter)"
2025-01-01 19:00,1735786800,Philadelphia 76ers @ Sacramento Kings,Sacramento Kings,Philadelphia 76ers,NBA Regular Season,"NBA Global League Pass [$], NBC Sports Philadelphia",13547,https://basketball.icdb.tv/match/13547,Kyle Draper,Kayte Christensen-Hunter,"Kayte Christensen-Hunter, Alaa Abdelnaby",,,,"Kyle Draper (Main Commentator), Kayte Christensen-Hunter (Co-commentator), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2024-12-23 16:00,1734998400,San Antonio Spurs @ Philadelphia 76ers,Philadelphia 76ers,San Antonio Spurs,NBA Regular Season,"NBC Sports Philadelphia, TNT Sports 2 HD UK, Discovery+ UK ($/geo/R)",13386,https://basketball.icdb.tv/match/13386,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Greg Anthony","Udonis Haslem, Channing Frye",Stephanie Ready,"Taryn Hatcher, Dennis Scott","Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Taryn Hatcher (Reporter), Stephanie Ready (Presenter), Spero Dedes (Main Commentator), Greg Anthony (Co-commentator), Udonis Haslem (Pundit), Channing Frye (Pundit), Dennis Scott (Reporter)"
2024-12-21 17:00,1734829200,Philadelphia 76ers @ Cleveland Cavaliers,Cleveland Cavaliers,Philadelphia 76ers,NBA Regular Season,"NBA Global League Pass [$], NBC Sports Philadelphia Plus",13157,https://basketball.icdb.tv/match/13157,John Michael,Brad Daugherty,"Brad Daugherty, Alaa Abdelnaby",,,Serena Winters,"John Michael (Main Commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2024-12-13 16:00,1734134400,Indiana Pacers @ Philadelphia 76ers,Philadelphia 76ers,Indiana Pacers,NBA Regular Season,"NBC Sports Philadelphia, TNT Sports 4 UK, Discovery+ UK ($/geo/R)",13241,https://basketball.icdb.tv/match/13241,Kate Scott,Alaa Abdelnaby,Alaa Abdelnaby,,,Taryn Hatcher,"Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Taryn Hatcher (Reporter)"
2024-04-07 16:00,1712530800,Philadelphia 76ers @ San Antonio Spurs,San Antonio Spurs,Philadelphia 76ers,NBA Regular Season,"NBA App, NBC Sports Philadelphia",11266,https://basketball.icdb.tv/match/11266,Bill Land,Sean Elliott,"Sean Elliott, Alaa Abdelnaby",,,,"Bill Land (Main Commentator), Sean Elliott (Co-commentator), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2024-04-06 17:00,1712448000,Philadelphia 76ers @ Memphis Grizzlies,Memphis Grizzlies,Philadelphia 76ers,NBA Regular Season,"NBA App, NBC Sports Philadelphia Plus",10991,https://basketball.icdb.tv/match/10991,Pete Pranica,Brevin Knight,"Brevin Knight, Alaa Abdelnaby",,,,"Pete Pranica (Main Commentator), Brevin Knight (Co-commentator), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
