date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2026-02-02 16:30,1770078600.0,Minnesota Timberwolves @ Memphis Grizzlies,Memphis Grizzlies,Minnesota Timberwolves,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",16582.0,https://basketball.icdb.tv/match/16582,Mark Followill,Robbie Hummel,"Robbie Hummel, Austin Rivers",,,,"Mark Followill (Main Commentator), Robbie Hummel (Co-commentator), Austin Rivers (Co-commentator)",Minnesota Timberwolves @ Memphis Grizzlies,pending,,
2026-01-19 10:00,1768845600.0,Milwaukee Bucks @ Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",16375.0,https://basketball.icdb.tv/match/16375,Mark Followill,Austin Rivers,Austin Rivers,"Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,Ashley ShahAhmadi,"Maria Taylor (Presenter), Mark Followill (Main Commentator), Austin Rivers (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit), Ashley ShahAhmadi (Reporter)",Milwaukee Bucks @ Atlanta Hawks,pending,,
2026-01-06 20:00,1767758400.0,Dallas Mavericks @ Sacramento Kings,Sacramento Kings,Dallas Mavericks,NBA Regular Season,"KFAA, MavsTV",16268.0,https://basketball.icdb.tv/match/16268,Mark Followill,Devin Harris,"Devin Harris, Derek Fisher","Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,"Lesley McCaslin, Jordan Cornette","Mark Followill (Main Commentator), Devin Harris (Co-commentator), Lesley McCaslin (Reporter), Maria Taylor (Presenter), Michael Grady (Main Commentator), Derek Fisher (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit), Jordan Cornette (Reporter)",Dallas Mavericks @ Sacramento Kings,pending,,
2026-01-01 17:30,1767317400.0,Philadelphia 76ers @ Dallas Mavericks,Dallas Mavericks,Philadelphia 76ers,NBA Regular Season,NBA TV (US),16263.0,https://basketball.icdb.tv/match/16263,Mark Followill,Devin Harris,Devin Harris,,,Jeff Wade,"Mark Followill (Main Commentator), Devin Harris (Co-commentator), Jeff Wade (Reporter)",Philadelphia 76ers @ Dallas Mavericks,pending,,
2025-12-27 14:00,1766872800.0,Dallas Mavericks @ Sacramento Kings,Sacramento Kings,Dallas Mavericks,NBA Regular Season,"KFAA, WFAA",16237.0,https://basketball.icdb.tv/match/16237,Mark Followill,Devin Harris,"Devin Harris, Kayte Christensen-Hunter",Derek Harper,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Devin Harris (Co-commentator), Derek Harper (Pundit), Lesley McCaslin (Reporter), Kyle Draper (Main Commentator), Kayte Christensen-Hunter (Co-commentator)",Dallas Mavericks @ Sacramento Kings,pending,,
2025-12-22 18:30,1766457000.0,Memphis Grizzlies @ Oklahoma City Thunder,Oklahoma City Thunder,Memphis Grizzlies,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",16186.0,https://basketball.icdb.tv/match/16186,Mark Followill,Grant Hill,Grant Hill,"Isiah Thomas, Derek Fisher",Ahmed Fareed,Zora Stephenson,"Ahmed Fareed (Presenter), Mark Followill (Main Commentator), Grant Hill (Co-commentator), Isiah Thomas (Pundit), Derek Fisher (Pundit), Zora Stephenson (Reporter)",Memphis Grizzlies @ Oklahoma City Thunder,pending,,
2025-12-03 17:30,1764811800.0,Miami Heat @ Dallas Mavericks,Dallas Mavericks,Miami Heat,NBA Regular Season,"NBA TV (US), KFAA, MavsTV",16090.0,https://basketball.icdb.tv/match/16090,Mark Followill,Derek Harper,"Derek Harper, Jeff Wade",Devin Harris,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Derek Harper (Co-commentator), Jeff Wade (Co-commentator), Devin Harris (Pundit), Lesley McCaslin (Reporter)",Miami Heat @ Dallas Mavericks,pending,,
2025-11-24 16:00,1764028800.0,Cleveland Cavaliers @ Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,NBA Regular Season,"Peacock (US) ($), NBC Sports Network (NBCSN)",16026.0,https://basketball.icdb.tv/match/16026,Mark Followill,Derek Fisher,Derek Fisher,"Brian Scalabrine, Jamal Crawford",Ahmed Fareed,Ashley ShahAhmadi,"Ahmed Fareed (Presenter), Mark Followill (Main Commentator), Derek Fisher (Co-commentator), Brian Scalabrine (Pundit), Jamal Crawford (Pundit), Ashley ShahAhmadi (Reporter)",Cleveland Cavaliers @ Toronto Raptors,pending,,
2025-11-08 16:00,1762646400.0,Dallas Mavericks @ Washington Wizards,Washington Wizards,Dallas Mavericks,NBA Regular Season,"KFAA, MavsTV",15945.0,https://basketball.icdb.tv/match/15945,Mark Followill,Derek Harper,Derek Harper,Devin Harris,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Derek Harper (Co-commentator), Devin Harris (Pundit), Lesley McCaslin (Reporter)",Dallas Mavericks @ Washington Wizards,pending,,
2025-11-07 17:00,1762563600.0,Dallas Mavericks @ Memphis Grizzlies,Memphis Grizzlies,Dallas Mavericks,NBA Cup,"KFAA, MavsTV",15944.0,https://basketball.icdb.tv/match/15944,Mark Followill,Derek Harper,Derek Harper,Devin Harris,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Derek Harper (Co-commentator), Devin Harris (Pundit), Lesley McCaslin (Reporter)",Dallas Mavericks @ Memphis Grizzlies,pending,,
2025-11-05 17:30,1762392600.0,New Orleans Pelicans @ Dallas Mavericks,Dallas Mavericks,New Orleans Pelicans,NBA Regular Season,"KFAA, MavsTV",15946.0,https://basketball.icdb.tv/match/15946,Mark Followill,Derek Harper,"Derek Harper, Jeff Wade",Devin Harris,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Derek Harper (Co-commentator), Jeff Wade (Co-commentator), Devin Harris (Pundit), Lesley McCaslin (Reporter)",New Orleans Pelicans @ Dallas Mavericks,pending,,
2025-11-03 17:00,1762218000.0,Dallas Mavericks @ Houston Rockets,Houston Rockets,Dallas Mavericks,NBA Regular Season,"KFAA, MavsTV",15947.0,https://basketball.icdb.tv/match/15947,Mark Followill,Derek Harper,Derek Harper,Devin Harris,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Derek Harper (Co-commentator), Devin Harris (Pundit), Lesley McCaslin (Reporter)",Dallas Mavericks @ Houston Rockets,pending,,
2025-11-01 19:00,1762048800.0,Dallas Mavericks @ Detroit Pistons,Detroit Pistons,Dallas Mavericks,NBA Regular Season,Peacock (US) ($),15883.0,https://basketball.icdb.tv/match/15883,Mark Followill,Grant Hill,Grant Hill,"Austin Rivers, Robbie Hummel",Jordan Cornette,Ashley ShahAhmadi,"Jordan Cornette (Presenter), Mark Followill (Main Commentator), Grant Hill (Co-commentator), Austin Rivers (Pundit), Robbie Hummel (Pundit), Ashley ShahAhmadi (Reporter)",Dallas Mavericks @ Detroit Pistons,pending,,
2025-10-29 17:30,1761784200.0,Indiana Pacers @ Dallas Mavericks,Dallas Mavericks,Indiana Pacers,NBA Regular Season,"KFAA, MavsTV",15888.0,https://basketball.icdb.tv/match/15888,Mark Followill,Derek Harper,"Derek Harper, Jeff Wade",Devin Harris,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Derek Harper (Co-commentator), Jeff Wade (Co-commentator), Devin Harris (Pundit), Lesley McCaslin (Reporter)",Indiana Pacers @ Dallas Mavericks,pending,,
2025-10-27 17:30,1761611400.0,Oklahoma City Thunder @ Dallas Mavericks,Dallas Mavericks,Oklahoma City Thunder,NBA Regular Season,"KFAA, MavsTV",15884.0,https://basketball.icdb.tv/match/15884,Mark Followill,Jeff Wade,"Jeff Wade, Devin Harris",Derek Harper,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Jeff Wade (Co-commentator), Devin Harris (Co-commentator), Derek Harper (Pundit), Lesley McCaslin (Reporter)",Oklahoma City Thunder @ Dallas Mavericks,pending,,
2025-10-26 17:30,1761525000.0,Toronto Raptors @ Dallas Mavericks,Dallas Mavericks,Toronto Raptors,NBA Regular Season,"KFAA, MavsTV",15885.0,https://basketball.icdb.tv/match/15885,Mark Followill,Devin Harris,Devin Harris,Derek Harper,Dana Larson,Lesley McCaslin,"Dana Larson (Presenter), Mark Followill (Main Commentator), Devin Harris (Co-commentator), Derek Harper (Pundit), Lesley McCaslin (Reporter)",Toronto Raptors @ Dallas Mavericks,pending,,
