date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2026-02-20 16:30,1771633800.0,Dallas Mavericks @ Minnesota Timberwolves,Minnesota Timberwolves,Dallas Mavericks,NBA Regular Season,"ESPN (US), ESPN Unlimited, ESPN Deportes",16545.0,https://basketball.icdb.tv/match/16545,Mark Jones,Richard Jefferson,Richard Jefferson,"Charles Barkley, Kenny Smith, Jalen Rose",Ernie Johnson,Katie George,"Mark Jones (Main Commentator), Richard Jefferson (Co-commentator), Katie George (Reporter), Ernie Johnson (Presenter), Charles Barkley (Pundit), Kenny Smith (Pundit), Jalen Rose (Pundit)",Dallas Mavericks @ Minnesota Timberwolves,pending,,
2026-02-13 16:00,1771027200.0,- ALL STAR CELEBRITY GAME - @ - ALL STAR CELEBRITY GAME -,- ALL STAR CELEBRITY GAME -,- ALL STAR CELEBRITY GAME -,NBA Regular Season,"ESPN (US), ESPN Deportes, ESPN Unlimited",16637.0,https://basketball.icdb.tv/match/16637,Mark Jones,Richard Jefferson,Richard Jefferson,,,Monica McNutt,"Mark Jones (Main Commentator), Richard Jefferson (Co-commentator), Monica McNutt (Reporter)",- ALL STAR CELEBRITY GAME - @ - ALL STAR CELEBRITY GAME -,pending,,
2026-02-08 12:00,1770580800.0,Los Angeles Clippers @ Minnesota Timberwolves,Minnesota Timberwolves,Los Angeles Clippers,NBA Regular Season,"ESPN (US), ESPN Unlimited",16595.0,https://basketball.icdb.tv/match/16595,Mark Jones,Stephanie White,Stephanie White,,,Alyssa Lang,"Mark Jones (Main Commentator), Stephanie White (Co-commentator), Alyssa Lang (Reporter)",Los Angeles Clippers @ Minnesota Timberwolves,pending,,
2026-02-01 12:30,1769977800.0,Milwaukee Bucks @ Boston Celtics,Boston Celtics,Milwaukee Bucks,NBA Regular Season,"ESPN (US), ESPN Unlimited",16581.0,https://basketball.icdb.tv/match/16581,Mark Jones,Richard Jefferson,Richard Jefferson,,,Angel Gray,"Mark Jones (Main Commentator), Richard Jefferson (Co-commentator), Angel Gray (Reporter)",Milwaukee Bucks @ Boston Celtics,pending,,
2026-01-30 16:30,1769819400.0,Toronto Raptors @ Orlando Magic,Orlando Magic,Toronto Raptors,NBA Regular Season,"ESPN (US), ESPN Unlimited",16578.0,https://basketball.icdb.tv/match/16578,Mark Jones,Stephanie White,Stephanie White,,,Katie George,"Mark Jones (Main Commentator), Stephanie White (Co-commentator), Katie George (Reporter)",Toronto Raptors @ Orlando Magic,pending,,
2026-01-14 16:00,1768435200.0,Cleveland Cavaliers @ Philadelphia 76ers,Philadelphia 76ers,Cleveland Cavaliers,NBA Regular Season,"ESPN (US), ESPN Unlimited",16331.0,https://basketball.icdb.tv/match/16331,Mark Jones,Tim Legler,Tim Legler,"Kendrick Perkins, Brian Windhorst, Shams Charania, Michael Malone",Malika Andrews,Jorge Sedano,"Malika Andrews (Presenter), Mark Jones (Main Commentator), Tim Legler (Co-commentator), Kendrick Perkins (Pundit), Brian Windhorst (Pundit), Shams Charania (Pundit), Michael Malone (Pundit), Jorge Sedano (Reporter)",Cleveland Cavaliers @ Philadelphia 76ers,pending,,
2025-12-25 11:30,1766691000.0,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,NBA Regular Season,"ABC (usa), ESPN (US), ESPN Unlimited",16190.0,https://basketball.icdb.tv/match/16190,Mark Jones,Jay Bilas,"Jay Bilas, Cory Alexander","Shaquille O'Neal, Kenny Smith, Charles Barkley","Ernie Johnson, Jim Basquil",Katie George,"Ernie Johnson (Presenter), Mark Jones (Main Commentator), Jay Bilas (Co-commentator), Shaquille O'Neal (Pundit), Kenny Smith (Pundit), Charles Barkley (Pundit), Katie George (Reporter), Jim Basquil (Presenter), Ed Cohen (Main Commentator), Cory Alexander (Co-commentator)",San Antonio Spurs @ Oklahoma City Thunder,pending,,
2025-11-26 14:00,1764194400.0,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons,NBA Cup,"ESPN (US), ESPN Unlimited",16032.0,https://basketball.icdb.tv/match/16032,Mark Jones,Stephanie White,Stephanie White,"Kendrick Perkins, Brian Windhorst, Michael Malone",Malika Andrews,Alyssa Lang,"Malika Andrews (Presenter), Mark Jones (Main Commentator), Stephanie White (Co-commentator), Kendrick Perkins (Pundit), Brian Windhorst (Pundit), Michael Malone (Pundit), Alyssa Lang (Reporter)",Detroit Pistons @ Boston Celtics,pending,,
2025-11-19 16:00,1763596800.0,Houston Rockets @ Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,NBA Regular Season,"ESPN (US), ESPN Unlimited",15998.0,https://basketball.icdb.tv/match/15998,Mark Jones,Doris Burke,Doris Burke,"Kendrick Perkins, Brian Windhorst, Shams Charania, Michael Malone",Malika Andrews,Katie George,"Malika Andrews (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Kendrick Perkins (Pundit), Brian Windhorst (Pundit), Shams Charania (Pundit), Michael Malone (Pundit), Katie George (Reporter)",Houston Rockets @ Cleveland Cavaliers,pending,,
2025-10-16 16:30,1760657400.0,Houston Rockets @ Atlanta Hawks,Atlanta Hawks,Houston Rockets,NBA Pre-Season,"ESPN 2 (US), ESPN Unlimited",15861.0,https://basketball.icdb.tv/match/15861,Mark Jones,Tim Legler,Tim Legler,,,Alyssa Lang,"Mark Jones (Main Commentator), Tim Legler (Co-commentator), Alyssa Lang (Reporter)",Houston Rockets @ Atlanta Hawks,pending,,
