date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2025-10-21 16:30,1761089400.0,Houston Rockets @ Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,NBA Regular Season,"NBC (usa), Peacock (US) ($), Sky Sports Main Event UK HD",15847.0,https://basketball.icdb.tv/match/15847,Marc Kestecher,P.J. Carlesimo,"P.J. Carlesimo, Reggie Miller, Jamal Crawford","Vince Carter, Carmelo Anthony","Jim Basquil, Maria Taylor",Zora Stephenson,"Jim Basquil (Presenter), Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Maria Taylor (Presenter), Mike Tirico (Main Commentator), Reggie Miller (Co-commentator), Jamal Crawford (Co-commentator), Vince Carter (Pundit), Carmelo Anthony (Pundit), Zora Stephenson (Reporter)",Houston Rockets @ Oklahoma City Thunder,pending,,
2025-10-28 17:00,1761696000.0,New York Knicks @ Milwaukee Bucks,Milwaukee Bucks,New York Knicks,NBA Regular Season,"NBC (usa), Peacock (US) ($), Sky Sports Main Event UHD, Sky Sports Main Event UK HD, Sky Sports+ UK HD",15881.0,https://basketball.icdb.tv/match/15881,Mike Tirico,Jamal Crawford,"Jamal Crawford, Reggie Miller","Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,Zora Stephenson,"Maria Taylor (Presenter), Mike Tirico (Main Commentator), Jamal Crawford (Co-commentator), Reggie Miller (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit), Zora Stephenson (Reporter)",New York Knicks @ Milwaukee Bucks,pending,,
2025-11-10 16:00,1762819200.0,Boston Celtics @ Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,NBA Regular Season,"Peacock (US) ($), NBC (usa)",15951.0,https://basketball.icdb.tv/match/15951,Mike Tirico,Reggie Miller,Reggie Miller,,Maria Taylor,Zora Stephenson,"Maria Taylor (Presenter), Mike Tirico (Main Commentator), Reggie Miller (Co-commentator), Zora Stephenson (Reporter)",Boston Celtics @ Philadelphia 76ers,pending,,
2025-12-02 17:00,1764723600.0,New York Knicks @ Boston Celtics,Boston Celtics,New York Knicks,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16079.0,https://basketball.icdb.tv/match/16079,Mike Tirico,Reggie Miller,Reggie Miller,,,Zora Stephenson,"Mike Tirico (Main Commentator), Reggie Miller (Co-commentator), Zora Stephenson (Reporter)",New York Knicks @ Boston Celtics,pending,,
2025-12-23 17:00,1766538000.0,Denver Nuggets @ Dallas Mavericks,Dallas Mavericks,Denver Nuggets,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16187.0,https://basketball.icdb.tv/match/16187,Mike Tirico,Jamal Crawford,Jamal Crawford,"Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,Ashley ShahAhmadi,"Maria Taylor (Presenter), Mike Tirico (Main Commentator), Jamal Crawford (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit), Ashley ShahAhmadi (Reporter)",Denver Nuggets @ Dallas Mavericks,pending,,
2026-01-19 14:00,1768860000.0,Dallas Mavericks @ New York Knicks,New York Knicks,Dallas Mavericks,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16377.0,https://basketball.icdb.tv/match/16377,Mike Tirico,Reggie Miller,Reggie Miller,"Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,Zora Stephenson,"Maria Taylor (Presenter), Mike Tirico (Main Commentator), Reggie Miller (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit), Zora Stephenson (Reporter)",Dallas Mavericks @ New York Knicks,pending,,
2026-02-01 16:00,,Los Angeles Lakers @ New York Knicks,New York Knicks,Los Angeles Lakers,NBA Regular Season,"NBC (usa), Peacock (US) ($), Telemundo (US), ESPN Radio",16431.0,https://basketball.icdb.tv/match/16431-Los-Angeles-Lakers-New-York-Knicks,Mike Tirico,,,,,,Mike Tirico (Main Commentator),Los Angeles Lakers @ New York Knicks,pending,,
2026-03-01 17:00,,Philadelphia 76ers @ Boston Celtics,Boston Celtics,Philadelphia 76ers,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16671.0,https://basketball.icdb.tv/match/16671-Philadelphia-76ers-Boston-Celtics,Mike Tirico,,,,,,Mike Tirico (Main Commentator),Philadelphia 76ers @ Boston Celtics,pending,,
2026-03-22 17:00,,Minnesota Timberwolves @ Boston Celtics,Boston Celtics,Minnesota Timberwolves,NBA Regular Season,"NBC USA HD, Peacock (US) ($), Sky Sports Action HD",17108.0,https://basketball.icdb.tv/match/17108-Minnesota-Timberwolves-Boston-Celtics,Mike Tirico,,,,,,Mike Tirico (Main Commentator),Minnesota Timberwolves @ Boston Celtics,pending,,
2026-03-23 16:00,,San Antonio Spurs @ Miami Heat,Miami Heat,San Antonio Spurs,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",17111.0,https://basketball.icdb.tv/match/17111-San-Antonio-Spurs-Miami-Heat,Mike Tirico,,,,,,Mike Tirico (Main Commentator),San Antonio Spurs @ Miami Heat,pending,,
2026-03-29 16:30,,New York Knicks @ Oklahoma City Thunder,Oklahoma City Thunder,New York Knicks,NBA Regular Season,"Eurosport 3 Polska HD, HBO Max Poland [$], NBC (usa), Peacock (US) ($)",17146.0,https://basketball.icdb.tv/match/17146-New-York-Knicks-Oklahoma-City-Thunder,Mike Tirico,,,,,,Mike Tirico (Main Commentator),New York Knicks @ Oklahoma City Thunder,pending,,
2026-03-31 17:00,,New York Knicks @ Houston Rockets,Houston Rockets,New York Knicks,NBA Regular Season,"Eurosport 3 Polska HD, HBO Max Poland [$], NBC (usa), Peacock (US) ($)",17151.0,https://basketball.icdb.tv/match/17151-New-York-Knicks-Houston-Rockets,Mike Tirico,,,,,,Mike Tirico (Main Commentator),New York Knicks @ Houston Rockets,pending,,
2026-04-05 16:30,,Los Angeles Lakers @ Dallas Mavericks,Dallas Mavericks,Los Angeles Lakers,NBA Regular Season,"NBC (usa), Peacock (US) ($), Telemundo (US)",17299.0,https://basketball.icdb.tv/match/17299-Los-Angeles-Lakers-Dallas-Mavericks,Mike Tirico,,,,,,Mike Tirico (Main Commentator),Los Angeles Lakers @ Dallas Mavericks,pending,,
2026-04-19 18:00,,Portland Trail Blazers @ San Antonio Spurs,San Antonio Spurs,Portland Trail Blazers,NBA Playoffs,"NBC (usa), Peacock (US) ($)",17347.0,https://basketball.icdb.tv/match/17347-Portland-Trail-Blazers-San-Antonio-Spurs,Mike Tirico,,,,,,Mike Tirico (Main Commentator),Portland Trail Blazers @ San Antonio Spurs,pending,,
2026-04-21 17:00,,Portland Trail Blazers @ San Antonio Spurs,San Antonio Spurs,Portland Trail Blazers,NBA Playoffs,"NBC (usa), Peacock (US) ($)",17351.0,https://basketball.icdb.tv/match/17351-Portland-Trail-Blazers-San-Antonio-Spurs,Mike Tirico,,,,,,Mike Tirico (Main Commentator),Portland Trail Blazers @ San Antonio Spurs,pending,,
