date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2026-02-24 17:00,1771981200.0,New York Knicks @ Cleveland Cavaliers,Cleveland Cavaliers,New York Knicks,NBA Regular Season,"Peacock (US) ($), NBC Sports Network (NBCSN)",16605.0,https://basketball.icdb.tv/match/16605,Noah Eagle,Reggie Miller,Reggie Miller,"Carmelo Anthony, Vince Carter, Tracy McGrady",Ahmed Fareed,Zora Stephenson,"Noah Eagle (Main Commentator), Reggie Miller (Co-commentator), Zora Stephenson (Reporter), Ahmed Fareed (Presenter), Carmelo Anthony (Pundit), Vince Carter (Pundit), Tracy McGrady (Pundit)",New York Knicks @ Cleveland Cavaliers,pending,,
2026-02-22 15:30,1771803000.0,Boston Celtics @ Los Angeles Lakers,Los Angeles Lakers,Boston Celtics,NBA Regular Season,"Peacock (US) ($), NBC (usa), Telemundo (US)",16652.0,https://basketball.icdb.tv/match/16652,Noah Eagle,Reggie Miller,"Reggie Miller, Jamal Crawford","Carmelo Anthony, Vince Carter, Tracy McGrady",Ahmed Fareed,Zora Stephenson,"Noah Eagle (Main Commentator), Reggie Miller (Co-commentator), Jamal Crawford (Co-commentator), Zora Stephenson (Reporter), Ahmed Fareed (Presenter), Carmelo Anthony (Pundit), Vince Carter (Pundit), Tracy McGrady (Pundit)",Boston Celtics @ Los Angeles Lakers,pending,,
2026-02-15 14:00,1771192800.0,- ALL STAR GAME - @ - ALL STAR GAME -,- ALL STAR GAME -,- ALL STAR GAME -,NBA Regular Season,"ESPN Radio, NBC (usa), Peacock (US) ($), Telemundo (US)",16639.0,https://basketball.icdb.tv/match/16639,Marc Kestecher,P.J. Carlesimo,"P.J. Carlesimo, Reggie Miller, Jamal Crawford",,Jim Basquil,"Jorge Sedano, Zora Stephenson, Ashley ShahAhmadi","Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter), Jim Basquil (Presenter), Noah Eagle (Main Commentator), Reggie Miller (Co-commentator), Jamal Crawford (Co-commentator), Zora Stephenson (Reporter), Ashley ShahAhmadi (Reporter)",- ALL STAR GAME - @ - ALL STAR GAME -,pending,,
2026-02-14 14:00,1771106400.0,- ALL STAR SATURDAY - @ - ALL STAR SATURDAY -,- ALL STAR SATURDAY -,- ALL STAR SATURDAY -,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16638.0,https://basketball.icdb.tv/match/16638,Marc Kestecher,P.J. Carlesimo,"P.J. Carlesimo, Reggie Miller, Jamal Crawford",,Jim Basquil,"Jorge Sedano, Zora Stephenson, Ashley ShahAhmadi","Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter), Jim Basquil (Presenter), Noah Eagle (Main Commentator), Reggie Miller (Co-commentator), Jamal Crawford (Co-commentator), Zora Stephenson (Reporter), Ashley ShahAhmadi (Reporter)",- ALL STAR SATURDAY - @ - ALL STAR SATURDAY -,pending,,
2026-02-13 18:00,1771034400.0,- ALL STAR RISING STARS CHALLENGE - @ - ALL STAR RISING STARS CHALLENGE -,- ALL STAR RISING STARS CHALLENGE -,- ALL STAR RISING STARS CHALLENGE -,NBA Regular Season,"ESPN Radio, NBC Sports Network (NBCSN), Peacock (US) ($)",16636.0,https://basketball.icdb.tv/match/16636,Marc Kestecher,P.J. Carlesimo,"P.J. Carlesimo, Reggie Miller, Jamal Crawford",,Jim Basquil,"Jorge Sedano, Zora Stephenson, Ashley ShahAhmadi","Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter), Jim Basquil (Presenter), Noah Eagle (Main Commentator), Reggie Miller (Co-commentator), Jamal Crawford (Co-commentator), Zora Stephenson (Reporter), Ashley ShahAhmadi (Reporter)",- ALL STAR RISING STARS CHALLENGE - @ - ALL STAR RISING STARS CHALLENGE -,pending,,
2026-02-09 19:00,1770692400.0,Oklahoma City Thunder @ Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",16596.0,https://basketball.icdb.tv/match/16596,Noah Eagle,Robbie Hummel,"Robbie Hummel, Austin Rivers",,,,"Noah Eagle (Main Commentator), Robbie Hummel (Co-commentator), Austin Rivers (Co-commentator)",Oklahoma City Thunder @ Los Angeles Lakers,pending,,
2026-02-03 17:00,1770166800.0,Boston Celtics @ Dallas Mavericks,Dallas Mavericks,Boston Celtics,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16584.0,https://basketball.icdb.tv/match/16584,Noah Eagle,Reggie Miller,Reggie Miller,,,Zora Stephenson,"Noah Eagle (Main Commentator), Reggie Miller (Co-commentator), Zora Stephenson (Reporter)",Boston Celtics @ Dallas Mavericks,pending,,
2026-01-20 17:00,1768957200.0,San Antonio Spurs @ Houston Rockets,Houston Rockets,San Antonio Spurs,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16379.0,https://basketball.icdb.tv/match/16379,Noah Eagle,Grant Hill,Grant Hill,"Vince Carter, Carmelo Anthony",Ahmed Fareed,Ashley ShahAhmadi,"Ahmed Fareed (Presenter), Noah Eagle (Main Commentator), Grant Hill (Co-commentator), Vince Carter (Pundit), Carmelo Anthony (Pundit), Ashley ShahAhmadi (Reporter)",San Antonio Spurs @ Houston Rockets,pending,,
2026-01-19 11:30,1768851000.0,Oklahoma City Thunder @ Cleveland Cavaliers,Cleveland Cavaliers,Oklahoma City Thunder,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16376.0,https://basketball.icdb.tv/match/16376,Noah Eagle,Grant Hill,Grant Hill,"Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,Jordan Cornette,"Maria Taylor (Presenter), Noah Eagle (Main Commentator), Grant Hill (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit), Jordan Cornette (Reporter)",Oklahoma City Thunder @ Cleveland Cavaliers,pending,,
2026-01-13 17:00,1768352400.0,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16329.0,https://basketball.icdb.tv/match/16329,Noah Eagle,Reggie Miller,Reggie Miller,"Vince Carter, Tracy McGrady",Maria Taylor,Zora Stephenson,"Maria Taylor (Presenter), Noah Eagle (Main Commentator), Reggie Miller (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Zora Stephenson (Reporter)",San Antonio Spurs @ Oklahoma City Thunder,pending,,
