date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2026-02-22 10:00,1771783200.0,Cleveland Cavaliers @ Oklahoma Thunder,Oklahoma Thunder,Cleveland Cavaliers,NBA Regular Season,"ABC (usa), ESPN Unlimited",16556.0,https://basketball.icdb.tv/match/16556,Ryan Ruocco,Richard Jefferson,Richard Jefferson,"Charles Barkley, Kenny Smith, Shaquille O'Neal",Ernie Johnson,Katie George,"Ryan Ruocco (Main Commentator), Richard Jefferson (Co-commentator), Katie George (Reporter), Ernie Johnson (Presenter), Charles Barkley (Pundit), Kenny Smith (Pundit), Shaquille O'Neal (Pundit)",Cleveland Cavaliers @ Oklahoma Thunder,pending,,
2026-02-08 09:30,1770571800.0,New York Knicks @ Boston Celtics,Boston Celtics,New York Knicks,NBA Regular Season,"ABC (usa), ESPN Unlimited",16594.0,https://basketball.icdb.tv/match/16594,Ryan Ruocco,P.J. Carlesimo,"P.J. Carlesimo, Alan Hahn",,Chris Villani,Jorge Sedano,"Ryan Ruocco (Main Commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter), Chris Villani (Presenter), Marc Kestecher (Main Commentator), Alan Hahn (Co-commentator)",New York Knicks @ Boston Celtics,pending,,
2026-01-30 19:00,1769828400.0,Detroit Pistons @ Golden State Warriors,Golden State Warriors,Detroit Pistons,NBA Regular Season,"ESPN (US), ESPN Unlimited",16579.0,https://basketball.icdb.tv/match/16579,Ryan Ruocco,Doris Burke,Doris Burke,,,Alyssa Lang,"Ryan Ruocco (Main Commentator), Doris Burke (Co-commentator), Alyssa Lang (Reporter)",Detroit Pistons @ Golden State Warriors,pending,,
2026-01-16 16:00,1768608000.0,Cleveland Cavaliers @ Philadelphia 76ers,Philadelphia 76ers,Cleveland Cavaliers,NBA Regular Season,"ESPN (US), ESPN Unlimited",16334.0,https://basketball.icdb.tv/match/16334,Ryan Ruocco,Tim Legler,Tim Legler,"Kendrick Perkins, Brian Windhorst, Shams Charania, Michael Malone",Malika Andrews,Jorge Sedano,"Malika Andrews (Presenter), Ryan Ruocco (Main Commentator), Tim Legler (Co-commentator), Kendrick Perkins (Pundit), Brian Windhorst (Pundit), Shams Charania (Pundit), Michael Malone (Pundit), Jorge Sedano (Reporter)",Cleveland Cavaliers @ Philadelphia 76ers,pending,,
2025-12-25 09:00,1766682000.0,Cleveland Cavaliers @ New York Knicks,New York Knicks,Cleveland Cavaliers,NBA Regular Season,"ABC (usa), ESPN (US), ESPN Unlimited",16189.0,https://basketball.icdb.tv/match/16189,Ryan Ruocco,Doris Burke,"Doris Burke, Monica McNutt, Sarah Kustok","Shaquille O'Neal, Kenny Smith, Charles Barkley","Ernie Johnson, Jim Basquil","Jorge Sedano, Daisy Duck","Ernie Johnson (Presenter), Ryan Ruocco (Main Commentator), Doris Burke (Co-commentator), Shaquille O'Neal (Pundit), Kenny Smith (Pundit), Charles Barkley (Pundit), Jorge Sedano (Reporter), Drew Carter (Main Commentator), Monica McNutt (Co-commentator), Daisy Duck (Reporter), Jim Basquil (Presenter), Mike Couzens (Main Commentator), Sarah Kustok (Co-commentator)",Cleveland Cavaliers @ New York Knicks,pending,,
2025-11-08 19:30,1762659000.0,Phoenix Suns @ Los Angeles Clippers,Los Angeles Clippers,Phoenix Suns,NBA Regular Season,"ESPN (US), ESPN Unlimited",15908.0,https://basketball.icdb.tv/match/15908,Ryan Ruocco,Doris Burke,Doris Burke,"Kendrick Perkins, Michael Malone",Malika Andrews,Alyssa Lang,"Malika Andrews (Presenter), Ryan Ruocco (Main Commentator), Doris Burke (Co-commentator), Kendrick Perkins (Pundit), Michael Malone (Pundit), Alyssa Lang (Reporter)",Phoenix Suns @ Los Angeles Clippers,pending,,
2025-10-22 18:30,1761183000.0,San Antonio Spurs @ Dallas Mavericks,Dallas Mavericks,San Antonio Spurs,NBA Regular Season,"ESPN (US), ESPN Unlimited",15850.0,https://basketball.icdb.tv/match/15850,Ryan Ruocco,Jay Bilas,Jay Bilas,"Shaquille O'Neal, Kenny Smith, Charles Barkley",Ernie Johnson,Jorge Sedano,"Ernie Johnson (Presenter), Ryan Ruocco (Main Commentator), Jay Bilas (Co-commentator), Shaquille O'Neal (Pundit), Kenny Smith (Pundit), Charles Barkley (Pundit), Jorge Sedano (Reporter)",San Antonio Spurs @ Dallas Mavericks,pending,,
2025-05-26 17:30,1748305800.0,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,NBA Regular Season,ESPN 2 (US),15198.0,https://basketball.icdb.tv/match/15198,Mike Breen,Doris Burke,"Doris Burke, Richard Jefferson, Tim Legler, Kirk Goldsberry, P.J. Carlesimo","Shams Charania, Kendrick Perkins, Michael Malone, Stephen A. Smith, Bob Myers","Malika Andrews, Jim Basquil","Lisa Salters, Jorge Sedano","Mike Breen (Main Commentator), Doris Burke (Co-commentator), Richard Jefferson (Co-commentator), Lisa Salters (Reporter), Malika Andrews (Presenter), Shams Charania (Pundit), Kendrick Perkins (Pundit), Michael Malone (Pundit), Stephen A. Smith (Pundit), Bob Myers (Pundit), Ryan Ruocco (Main Commentator), Tim Legler (Co-commentator), Kirk Goldsberry (Co-commentator), Jim Basquil (Presenter), Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter)",Oklahoma City Thunder @ Minnesota Timberwolves,pending,,
2025-05-24 17:30,1748133000.0,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,NBA Playoffs,ESPNEWS (US),15222.0,https://basketball.icdb.tv/match/15222,Mike Breen,Doris Burke,"Doris Burke, Richard Jefferson, P.J. Carlesimo, Kirk Goldsberry, Tim Legler","Shams Charania, Michael Malone, Bob Myers, Kendrick Perkins, Stephen A. Smith","Malika Andrews, Jim Basquil","Lisa Salters, Jorge Sedano","Malika Andrews (Presenter), Mike Breen (Main Commentator), Doris Burke (Co-commentator), Richard Jefferson (Co-commentator), Shams Charania (Pundit), Michael Malone (Pundit), Bob Myers (Pundit), Kendrick Perkins (Pundit), Stephen A. Smith (Pundit), Lisa Salters (Reporter), Jim Basquil (Presenter), Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter), Ryan Ruocco (Main Commentator), Kirk Goldsberry (Co-commentator), Tim Legler (Co-commentator)",Oklahoma City Thunder @ Minnesota Timberwolves,pending,,
2025-05-22 17:30,1747960200.0,Minnesota Timberwolves @ Oklahoma City Thunder,Oklahoma City Thunder,Minnesota Timberwolves,NBA Playoffs,ESPNEWS (US),15190.0,https://basketball.icdb.tv/match/15190,Mike Breen,Doris Burke,"Doris Burke, Richard Jefferson, P.J. Carlesimo, Tim Legler, Kirk Goldsberry","Shams Charania, Kendrick Perkins, Michael Malone, Stephen A. Smith, Bob Myers","Malika Andrews, Jim Basquil","Lisa Salters, Jorge Sedano","Malika Andrews (Presenter), Mike Breen (Main Commentator), Doris Burke (Co-commentator), Richard Jefferson (Co-commentator), Shams Charania (Pundit), Kendrick Perkins (Pundit), Michael Malone (Pundit), Stephen A. Smith (Pundit), Bob Myers (Pundit), Lisa Salters (Reporter), Jim Basquil (Presenter), Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Jorge Sedano (Reporter), Ryan Ruocco (Main Commentator), Tim Legler (Co-commentator), Kirk Goldsberry (Co-commentator)",Minnesota Timberwolves @ Oklahoma City Thunder,pending,,
