date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators
2026-01-19 17:00,1768870800,Boston Celtics @ Detroit Pistons,Detroit Pistons,Boston Celtics,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16378,https://basketball.icdb.tv/match/16378,Terry Gannon,Brian Scalabrine,"Brian Scalabrine, Robbie Hummel","Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,,"Maria Taylor (Presenter), Terry Gannon (Main Commentator), Brian Scalabrine (Co-commentator), Robbie Hummel (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit)"
2026-01-13 20:00,1768363200,Portland Trail Blazers @ Golden State Warriors,Golden State Warriors,Portland Trail Blazers,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16330,https://basketball.icdb.tv/match/16330,Terry Gannon,Jamal Crawford,Jamal Crawford,"Vince Carter, Tracy McGrady",Maria Taylor,Ashley ShahAhmadi,"Maria Taylor (Presenter), Terry Gannon (Main Commentator), Jamal Crawford (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Ashley ShahAhmadi (Reporter)"
2026-01-05 19:00,1767668400,Golden State Warriors @ Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,NBA Regular Season,"NBC Sports Network (NBCSN), Peacock (US) ($)",16266,https://basketball.icdb.tv/match/16266,Terry Gannon,Grant Hill,"Grant Hill, Snoop Dogg","Brad Daugherty, Isiah Thomas",Ahmed Fareed,Grant Liffmann,"Ahmed Fareed (Presenter), Terry Gannon (Main Commentator), Grant Hill (Co-commentator), Snoop Dogg (Co-commentator), Brad Daugherty (Pundit), Isiah Thomas (Pundit), Grant Liffmann (Reporter)"
2025-12-30 19:30,1767151800,Detroit Pistons @ Los Angeles Lakers,Los Angeles Lakers,Detroit Pistons,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16248,https://basketball.icdb.tv/match/16248,Terry Gannon,Reggie Miller,Reggie Miller,,,Grant Liffmann,"Terry Gannon (Main Commentator), Reggie Miller (Co-commentator), Grant Liffmann (Reporter)"
2025-12-29 19:30,1767065400,Dallas Mavericks @ Portland Trail Blazers,Portland Trail Blazers,Dallas Mavericks,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16246,https://basketball.icdb.tv/match/16246,Terry Gannon,Jamal Crawford,"Jamal Crawford, Austin Rivers",,,,"Terry Gannon (Main Commentator), Jamal Crawford (Co-commentator), Austin Rivers (Co-commentator)"
2025-12-23 19:30,1766547000,Houston Rockets @ Los Angeles Clippers,Los Angeles Clippers,Houston Rockets,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16188,https://basketball.icdb.tv/match/16188,Terry Gannon,Reggie Miller,Reggie Miller,"Vince Carter, Tracy McGrady, Carmelo Anthony",Maria Taylor,Grant Liffmann,"Maria Taylor (Presenter), Terry Gannon (Main Commentator), Reggie Miller (Co-commentator), Vince Carter (Pundit), Tracy McGrady (Pundit), Carmelo Anthony (Pundit), Grant Liffmann (Reporter)"
2025-12-02 20:00,1764734400,Oklahoma City Thunder @ Golden State Warriors,Golden State Warriors,Oklahoma City Thunder,NBA Regular Season,"NBC (usa), Peacock (US) ($)",16080,https://basketball.icdb.tv/match/16080,Terry Gannon,Jamal Crawford,Jamal Crawford,,,Ashley ShahAhmadi,"Terry Gannon (Main Commentator), Jamal Crawford (Co-commentator), Ashley ShahAhmadi (Reporter)"
2025-11-25 20:00,1764129600,Los Angeles Clippers @ Los Angeles Lakers,Los Angeles Lakers,Los Angeles Clippers,NBA Cup,"NBC (usa), Peacock (US) ($)",16029,https://basketball.icdb.tv/match/16029,Terry Gannon,Reggie Miller,Reggie Miller,,,Jordan Cornette,"Terry Gannon (Main Commentator), Reggie Miller (Co-commentator), Jordan Cornette (Reporter)"
2025-11-18 20:00,1763524800,Phoenix Suns @ Portland Trail Blazers,Portland Trail Blazers,Phoenix Suns,NBA Regular Season,"NBC (usa), Peacock (US) ($)",15993,https://basketball.icdb.tv/match/15993,Terry Gannon,Derek Fisher,Derek Fisher,,,Grant Liffmann,"Terry Gannon (Main Commentator), Derek Fisher (Co-commentator), Grant Liffmann (Reporter)"
2025-11-11 20:00,1762920000,Denver Nuggets @ Sacramento Kings,Sacramento Kings,Denver Nuggets,NBA Regular Season,"Peacock (US) ($), NBC (usa)",15952,https://basketball.icdb.tv/match/15952,Terry Gannon,Jamal Crawford,Jamal Crawford,,Maria Taylor,Grant Liffmann,"Maria Taylor (Presenter), Terry Gannon (Main Commentator), Jamal Crawford (Co-commentator), Grant Liffmann (Reporter)"
2025-11-04 20:00,1762315200,Oklahoma City Thunder @ Los Angeles Clippers,Los Angeles Clippers,Oklahoma City Thunder,NBA Regular Season,"NBC (usa), Peacock (US) ($)",15905,https://basketball.icdb.tv/match/15905,Terry Gannon,Reggie Miller,Reggie Miller,,,Grant Liffmann,"Terry Gannon (Main Commentator), Reggie Miller (Co-commentator), Grant Liffmann (Reporter)"
2025-10-28 20:00,1761706800,Los Angeles Clippers @ Golden State Warriors,Golden State Warriors,Los Angeles Clippers,NBA Regular Season,"NBC (usa), Peacock (US) ($), Sky Sports Main Event UK HD, Sky Sports Main Event UHD, Sky Sports+ UK HD",15882,https://basketball.icdb.tv/match/15882,Terry Gannon,Grant Hill,Grant Hill,"Carmelo Anthony, Tracy McGrady, Vince Carter",Maria Taylor,Grant Liffmann,"Maria Taylor (Presenter), Terry Gannon (Main Commentator), Grant Hill (Co-commentator), Carmelo Anthony (Pundit), Tracy McGrady (Pundit), Vince Carter (Pundit), Grant Liffmann (Reporter)"
